"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"34","CA",34,"Pepperdine University","$50,022 ","3,533","Malibu","90263","www.pepperdine.edu/",34.037786,-118.707077,"0.3687","Private nonprofit","Suburb","1251",66152,0,0,0,1,1,0,1,1,1,1,2,1,"$50,022 ","3,533",67300,396.1,10,59.96
"35","FL",35,"University of Florida","$28,666 ","35,043","Gainesville","32611","www.ufl.edu/",29.64629,-82.347911,"0.4594","Public","City","1287",20571,1,1,1,2,1,1,2,1,2,2,1,1,"$28,666 ","35,043",54300,540.5,35,49.14
"36","PA",36,"Villanova University","$49,280 ","6,994","Villanova","19085-1699","www.villanova.edu",40.039388,-75.345457,"0.435","Private nonprofit","Suburb","1350",62583,0,1,0,1,1,1,1,1,1,1,2,1,"$49,280 ","6,994",70700,314.1,34,49.98
"37","DC",37,"George Washington University","$51,950 ","11,157","Washington","20052","www.gwu.edu",38.89923,-77.048363,"0.4021","Private nonprofit","City","1301",65218,0,1,0,2,0,1,1,1,1,1,1,1,"$51,950 ","11,157",70000,1244.4,18,57.01
"38","TX",38,"Southern Methodist University","$50,358 ","6,411","Dallas","75275-0221","www.smu.edu",32.845254,-96.784855,"0.4892","Private nonprofit","Suburb","1330",66889,0,1,0,1,1,1,1,1,1,1,1,1,"$50,358 ","6,411",62600,405.9,29,52.23
"39","GA",39,"University of Georgia","$29,844 ","27,547","Athens","30602","www.uga.edu",33.956262,-83.374039,"0.539","Public","City","1262",24991,1,1,1,1,2,1,1,1,1,1,2,1,"$29,844 ","27,547",48500,377.3,37,47.43
"40","NY",40,"Fordham University","$47,317 ","8,855","Bronx","10458","www.fordham.edu",40.859354,-73.882705,"0.4522","Private nonprofit","City","1281",63109,0,1,0,1,1,1,1,1,1,1,1,1,"$47,317 ","8,855",53400,381.8,26,52.54
"41","NY",41,"Syracuse University","$45,022 ","15,196","Syracuse","13244","https://www.syracuse.edu",43.040176,-76.136975,"0.5232","Private nonprofit","City","1204",61070,0,0,1,1,1,1,1,1,1,1,1,1,"$45,022 ","15,196",55000,381.8,26,52.54
"42","CT",42,"University of Connecticut","$35,858 ","18,826","Storrs","06269","uconn.edu/",41.809098,-72.249948,"0.488","Public","Suburb","1248",29128,1,1,1,1,1,1,1,1,1,1,1,1,"$35,858 ","18,826",55200,236.9,17,57.04
"43","MA",43,"Worcester Polytechnic Institute","$46,994 ","4,299","Worcester","01609-2280","https://www.wpi.edu/",42.274853,-71.808339,"0.4844","Private nonprofit","City","NULL",60878,0,0,0,1,0,1,1,1,1,1,1,0,"$46,994 ","4,299",72900,391.4,16,57.42
"44","SC",44,"Clemson University","$32,796 ","18,016","Clemson","29634","www.clemson.edu",34.679381,-82.835114,"0.5054","Public","Suburb","1269",27722,1,1,1,1,1,2,1,1,1,1,1,1,"$32,796 ","18,016",48700,497.7,38,47.06
"45","NY",45,"Yeshiva University","$40,670 ","2,744","New York","10033-3299","www.yu.edu",40.850605,-73.929873,"0.5075","Private nonprofit","City","1217",57355,0,0,0,1,1,1,1,1,1,1,1,1,"$40,670 ","2,744",65500,381.8,26,52.54
"46","TX",46,"Baylor University","$42,006 ","14,189","Waco","76798","www.baylor.edu",31.54896,-97.117641,"0.3972","Private nonprofit","City","1246",56701,0,1,0,1,1,1,1,1,1,1,1,1,"$42,006 ","14,189",48000,405.9,29,52.23
"47","NJ",47,"Stevens Institute of Technology","$48,838 ","2,873","Hoboken","07030-5991","www.stevens.edu",40.744776,-74.025334,"0.3911","Private nonprofit","Suburb","1360",62100,0,0,0,1,0,1,1,1,0,1,1,0,"$48,838 ","2,873",73900,261.2,20,56.82
"48","DC",48,"American University","$44,853 ","7,909","Washington","20016-8001","WWW.AMERICAN.EDU",38.936005,-77.088875,"0.2591","Private nonprofit","City","1262",60501,0,1,0,1,1,0,1,1,1,1,1,1,"$44,853 ","7,909",55200,1244.4,18,57.01
"49","MA",49,"Clark University","$43,150 ","2,397","Worcester","01610-1477","www.clarku.edu",42.249987,-71.823356,"0.5473","Private nonprofit","City","NULL",51609,0,1,0,1,0,0,1,1,1,1,1,1,"$43,150 ","2,397",43400,391.4,16,57.42
"50","DE",50,"University of Delaware","$31,420 ","18,322","Newark","19716","www.udel.edu/",39.679577,-75.752822,"0.695","Public","Suburb","1170",24557,2,1,1,1,1,1,1,1,1,1,1,1,"$31,420 ","18,322",53100,489.1,19,57.01
"51","CO",51,"Colorado School of Mines","$34,828 ","4,608","Golden","80401","www.mines.edu",39.751443,-105.223364,"0.4035","Public","Suburb","1354",31226,0,0,0,1,0,1,0,1,0,1,0,0,"$34,828 ","4,608",80900,309.1,5,61.59
"52","MI",52,"Michigan State University","$39,090 ","39,143","East Lansing","48824-1046","https://www.msu.edu",42.73212,-84.476111,"0.6574","Public","City","1194",25809,1,1,1,1,1,1,1,1,1,1,1,1,"$39,090 ","39,143",51700,427.3,43,44.17
"53","TX",53,"Texas Christian University","$42,670 ","8,894","Fort Worth","76129","www.tcu.edu/",32.709568,-97.361537,"0.3758","Private nonprofit","City","1223",58040,1,1,0,1,1,1,1,1,1,1,1,1,"$42,670 ","8,894",51700,405.9,29,52.23
"54","IA",54,"University of Iowa","$28,413 ","23,357","Iowa City","52242-1316","www.uiowa.edu",41.661935,-91.536425,"0.8411","Public","City","1165",21010,0,1,0,1,1,1,1,1,1,1,2,1,"$28,413 ","23,357",51500,273.5,7,60.92
"55","WI",55,"Marquette University","$38,470 ","8,334","Milwaukee","53233","www.marquette.edu",43.03903,-87.927961,"0.8434","Private nonprofit","City","1199",51316,0,1,0,1,1,1,1,1,1,1,1,1,"$38,470 ","8,334",59500,290.3,15,57.8
"56","CO",56,"University of Denver","$46,362 ","5,758","Denver","80208","www.du.edu",39.678005,-104.963259,"0.5347","Private nonprofit","City","1262",59656,0,2,0,1,0,1,1,1,1,2,2,1,"$46,362 ","5,758",53000,309.1,5,61.59
"57","CA",57,"University of San Diego","$46,140 ","5,647","San Diego","92110-2492","www.sandiego.edu",32.77142,-117.188721,"0.5138","Private nonprofit","City","1237",61004,0,1,1,1,0,1,1,1,1,1,1,1,"$46,140 ","5,647",60400,396.1,10,59.96
"58","OK",58,"University of Tulsa","$38,796 ","3,478","Tulsa","74104-3189","https://utulsa.edu",36.152324,-95.945941,"0.3696","Private nonprofit","City","1308",53667,0,1,0,1,1,1,1,1,1,1,1,1,"$38,796 ","3,478",50000,406,44,41.36
"59","FL",59,"Florida State University","$24,673 ","32,706","Tallahassee","32306-1037","www.fsu.edu",30.440756,-84.291921,"0.5801","Public","City","1214",21938,0,1,0,1,1,1,1,1,1,1,1,1,"$24,673 ","32,706",44700,540.5,35,49.14
"60","VT",60,"University of Vermont","$40,364 ","10,973","Burlington","05405-0160","www.uvm.edu",44.477325,-73.196646,"0.6894","Public","City","1216",30573,1,2,0,1,1,1,1,1,1,1,1,1,"$40,364 ","10,973",44500,99.3,14,58.01
