Name,Rank,Tuition and fees
Florida SouthWestern State College,NA,NA
Edward Waters College,NA,NA
Embry-Riddle Aeronautical University-Daytona Beach,NA,NA
Florida Agricultural and Mechanical University,NA,NA
Florida Atlantic University,NA,NA
Florida State College at Jacksonville,NA,NA
Flagler College-St Augustine,NA,NA
Florida College,NA,NA
Concorde Career Institute-Jacksonville,NA,NA
Concorde Career Institute-Miramar,NA,NA
Concorde Career Institute-Tampa,NA,NA
Adventist University of Health Sciences,NA,NA
Florida Institute of Technology,161,"$40,446 "
Florida Institute of Ultrasound Inc,NA,NA
Florida International University,NA,NA
Florida Keys Community College,NA,NA
Florida Memorial University,NA,NA
Florida Career College-Miami,NA,NA
Florida School of Massage,NA,NA
Florida Southern College,NA,NA
Florida State University,87,"$24,673 "
Florida Technical College,NA,NA
University of Florida,51,"$28,666 "
Everest University-Pompano Beach,NA,NA
Fort Pierce Beauty Academy,NA,NA
Full Sail University,NA,NA
George Stone Technical Center,NA,NA
George T Baker Aviation Technical College,NA,NA
Gulf Coast State College,NA,NA
Key College,NA,NA
Hillsborough Community College,NA,NA
Hobe Sound Bible College,NA,NA
Hollywood Institute of Beauty Careers,NA,NA
Cortiva Institute-Florida,NA,NA
Indian River State College,NA,NA
Sanford-Brown College-Tampa,NA,NA
International Academy,NA,NA
AI Miami International University of Art and Design,NA,NA
Jacksonville University,NA,NA
Jones College-Jacksonville,NA,NA
Keiser University-Ft Lauderdale,NA,NA
La Belle Beauty School,NA,NA
Florida Gateway College,NA,NA
Lake Technical College,NA,NA
Lake-Sumter State College,NA,NA
Fort Myers Technical College,NA,NA
Lively Technical Center,NA,NA
Lindsey Hopkins Technical College,NA,NA
Loraines Academy & Spa,NA,NA
Luther Rice College & Seminary,NA,NA
State College of Florida-Manatee-Sarasota,NA,NA
Manatee Technical College,NA,NA
Traviss Technical College,NA,NA
Merryfield School of Pet Grooming,NA,NA
Trinity International University-Florida,NA,NA
Miami Lakes Educational Center and Technical College,NA,NA
Miami Dade College,NA,NA
University of Miami,45,"$47,004 "
Orange Technical College-Mid Florida Campus,NA,NA
Beauty Schools of America-Miami,NA,NA
Lincoln College of Technology-West Palm Beach,NA,NA
Paul Mitchell the School-Jacksonville,NA,NA
North Florida Community College,NA,NA
