"","Name","Rank","Tuition.and.fees","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"65","University of Pittsburgh-Bradford",65,"$29,758 ","Bradford","PA","16701","www.upb.pitt.edu/","41.943415","-78.673701","0.526",1,"33","982",25788,"0","0","0","1","1","1","1","1","1","1","1","0"
"66","Rutgers University-New Brunswick",66,"$30,023 ","New Brunswick","NJ","08901-1281","newbrunswick.rutgers.edu/","40.498769","-74.446251","0.5694",1,"13","1230",29388,"1","1","1","2","0","1","1","1","2","2","2","1"
"67","Baylor University",67,"$42,006 ","Waco","TX","76798","www.baylor.edu","31.54896","-97.117641","0.3972",2,"12","1246",56701,"0","1","0","1","1","1","1","1","1","1","1","1"
"68","Stevens Institute of Technology",68,"$48,838 ","Hoboken","NJ","07030-5991","www.stevens.edu","40.744776","-74.025334","0.3911",2,"21","1360",62100,"0","0","0","1","0","1","1","1","0","1","1","0"
"69","University of Minnesota-Twin Cities",69,"$22,210 ","Minneapolis","MN","55455-0213","https://twin-cities.umn.edu","44.972851","-93.235464","0.4441",1,"11","1288",25370,"1","1","1","2","2","2","1","1","1","1","2","1"
"70","American University",70,"$44,853 ","Washington","DC","20016-8001","WWW.AMERICAN.EDU","38.936005","-77.088875","0.2591",2,"11","1262",60501,"0","1","0","1","1","0","1","1","1","1","1","1"
"71","Clark University",71,"$43,150 ","Worcester","MA","01610-1477","www.clarku.edu","42.249987","-71.823356","0.5473",2,"12","NULL",51609,"0","1","0","1","0","0","1","1","1","1","1","1"
"72","Texas A & M University-College Station",72,"$28,768 ","College Station","TX","77843-1248","www.tamu.edu","30.618726","-96.336475","0.6717",1,"12","1205",24682,"1","1","1","1","0","1","1","1","1","1","1","1"
"73","University of Massachusetts-Amherst",73,"$30,123 ","Amherst","MA","01003","www.umass.edu","42.385999","-72.526728","0.5968",1,"21","1234",28000,"1","1","1","1","1","1","1","1","1","1","2","1"
"74","Bryant & Stratton College-Virginia Beach",74,"$29,371 ","Virginia Beach","VA","23462","www.bryantstratton.edu","36.827826","-76.13819","NULL",3,"11","NULL",22519,"0","0","0","0","0","0","0","0","0","0","1","0"
"75","University of Delaware",75,"$31,420 ","Newark","DE","19716","www.udel.edu/","39.679577","-75.752822","0.695",1,"21","1170",24557,"2","1","1","1","1","1","1","1","1","1","1","1"
"76","Miami University-Oxford",76,"$31,592 ","Oxford","OH","45056","miamioh.edu","39.507757","-84.732954","0.6538",1,"31","1276",29413,"0","1","1","1","1","1","1","1","1","1","1","1"
"77","University of California-Santa Cruz",77,"$40,241 ","Santa Cruz","CA","95064-1011","www.ucsc.edu/","36.995584","-122.058801","0.5785",1,"13","1201",34608,"1","1","0","1","1","1","1","1","1","1","1","1"
"78","Colorado School of Mines",78,"$34,828 ","Golden","CO","80401","www.mines.edu","39.751443","-105.223364","0.4035",1,"21","1354",31226,"0","0","0","1","0","1","0","1","0","1","0","0"
"79","Michigan State University",79,"$39,090 ","East Lansing","MI","48824-1046","https://www.msu.edu","42.73212","-84.476111","0.6574",1,"13","1194",25809,"1","1","1","1","1","1","1","1","1","1","1","1"
"80","Texas Christian University",80,"$42,670 ","Fort Worth","TX","76129","www.tcu.edu/","32.709568","-97.361537","0.3758",2,"11","1223",58040,"1","1","0","1","1","1","1","1","1","1","1","1"
"81","University of Iowa",81,"$28,413 ","Iowa City","IA","52242-1316","www.uiowa.edu","41.661935","-91.536425","0.8411",1,"13","1165",21010,"0","1","0","1","1","1","1","1","1","1","2","1"
"82","Marquette University",82,"$38,470 ","Milwaukee","WI","53233","www.marquette.edu","43.03903","-87.927961","0.8434",2,"11","1199",51316,"0","1","0","1","1","1","1","1","1","1","1","1"
"83","University of Denver",83,"$46,362 ","Denver","CO","80208","www.du.edu","39.678005","-104.963259","0.5347",2,"11","1262",59656,"0","2","0","1","0","1","1","1","1","2","2","1"
"84","University of San Diego",84,"$46,140 ","San Diego","CA","92110-2492","www.sandiego.edu","32.77142","-117.188721","0.5138",2,"11","1237",61004,"0","1","1","1","0","1","1","1","1","1","1","1"
"85","University of Tulsa",85,"$38,796 ","Tulsa","OK","74104-3189","https://utulsa.edu","36.152324","-95.945941","0.3696",2,"11","1308",53667,"0","1","0","1","1","1","1","1","1","1","1","1"
