"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"3893","Lawrence University","Appleton","WI","54911","www.lawrence.edu","44.261323","-88.397822","0.6298",2,"13","1280",55275,"0","1","0","0","1","0","1","1","1","1","0","1"
"3894","Maranatha Baptist University","Watertown","WI","53094","www.mbu.edu","43.195013","-88.737016","0.6809",2,"31","NULL",25204,"0","0","0","0","1","0","1","0","0","0","2","0"
"3895","Marian University","Fond Du Lac","WI","54935-4699","https://www.marianuniversity.edu","43.777411","-88.420638","0.7719",2,"13","950",37170,"0","0","0","1","1","0","1","1","1","0","2","1"
"3896","Marquette University","Milwaukee","WI","53233","www.marquette.edu","43.03903","-87.927961","0.8434",2,"11","1199",51316,"0","1","0","1","1","1","1","1","1","1","1","1"
"3897","Medical College of Wisconsin","Milwaukee","WI","53226-0509","www.mcw.edu","43.044527","-88.022674","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3898","Mid-State Technical College","Wisconsin Rapids","WI","54494","www.mstc.edu","44.391091","-89.783785","NULL",1,"41","NULL",13993,"0","0","0","0","0","0","0","0","0","0","0","0"
"3899","Milwaukee Area Technical College","Milwaukee","WI","53233-1443","matc.edu","43.04359","-87.920818","NULL",1,"11","NULL",13786,"0","0","0","0","0","0","0","0","0","0","0","0"
"3900","Milwaukee Institute of Art & Design","Milwaukee","WI","53202-6003","www.miad.edu","43.030917","-87.907925","0.6074",2,"11","NULL",43057,"0","0","1","0","0","0","0","0","0","0","0","0"
"3901","Milwaukee School of Engineering","Milwaukee","WI","53202-3109","www.msoe.edu","43.045364","-87.907691","0.6631",2,"11","1245",47607,"0","0","0","0","0","1","0","0","0","0","1","0"
"3902","Moraine Park Technical College","Fond du Lac","WI","54936-1940","www.morainepark.edu","43.785224","-88.417656","NULL",1,"13","NULL",13302,"0","0","0","0","0","0","0","0","0","0","0","0"
"3903","Mount Mary University","Milwaukee","WI","53222-4597","www.mtmary.edu/","43.072507","-88.030732","0.5631",2,"11","970",38848,"0","0","0","0","1","0","1","1","1","1","1","1"
"3904","Nashotah House","Nashotah","WI","53058-9793","www.nashotah.edu","43.082193","-88.423743","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3905","Nicolet Area Technical College","Rhinelander","WI","54501-0518","www.nicoletcollege.edu","45.609542","-89.425055","NULL",1,"41","NULL",13310,"0","0","0","0","0","0","0","0","0","0","0","0"
"3906","Northcentral Technical College","Wausau","WI","54401-1899","www.ntc.edu","44.986458","-89.646369","NULL",1,"13","NULL",14680,"0","0","0","0","0","0","0","0","0","0","0","0"
"3907","Northeast Wisconsin Technical College","Green Bay","WI","54307-9042","www.nwtc.edu","44.526467","-88.105675","NULL",1,"12","NULL",14182,"0","0","0","0","0","0","0","0","0","0","0","0"
"3908","Northland College","Ashland","WI","54806-3999","www.northland.edu","46.579087","-90.87476","0.5401",2,"33","NULL",44383,"0","1","0","0","1","1","1","1","1","1","1","1"
"3909","Ripon College","Ripon","WI","54971-0248","www.ripon.edu","43.844135","-88.842333","0.6526",2,"32","1085",46940,"0","1","0","1","0","0","1","1","1","1","1","1"
"3910","Sacred Heart Seminary and School of Theology","Franklin","WI","53132","www.shsst.edu","42.910829","-88.04438","NULL",2,"21","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3911","Saint Norbert College","De Pere","WI","54115-2099","www.snc.edu","44.44483","-88.067812","0.8139",2,"22","1124",44738,"0","1","0","1","1","0","1","1","1","1","1","1"
